,Cnsmr,Manuf,HiTec,Hlth ,Other
200009,2.34,-0.19,-13.17,3.71,0.25
200010,1.95,0.93,-5.97,2.62,-1.1
200011,-0.78,-1.94,-21.81,0.81,-6.12
200012,5.21,7.25,-7.14,3.53,7.2
200101,3.93,-3.46,15.99,-8.96,0.17
200102,-3.03,-0.94,-22.58,-0.48,-4.41
200103,-3.5,-3.04,-11.72,-8.44,-4.29
200104,4.2,7.85,13.98,3.98,5.94
200105,1.78,1.32,-2.83,3.02,3.66
200106,-1.64,-5.69,0.37,-2.87,0.05
200107,2.69,-1.13,-5.79,2.33,-2.26
200108,-4.01,-1.87,-11.7,-3.11,-5.41
200109,-7.53,-9.46,-14.33,-0.58,-8.22
200110,1.32,3.56,7.68,1.18,-0.81
200111,7.15,2.94,13.25,5.04,7.53
200112,3.05,3.81,0.25,-2.89,3.44
200201,2.36,-0.63,-2.25,-2.36,-1.59
200202,1.76,3.74,-10.5,-0.49,-0.16
200203,3.09,6.55,4.8,0.46,5.31
200204,0.23,-2.02,-11.96,-7.57,-2.99
200205,-0.26,-1.48,-2.07,-2.23,-0.6
200206,-5.62,-2.68,-12.75,-9.6,-4.91
200207,-9.65,-9.99,-10.19,-2.55,-6.46
200208,2.02,0.01,-0.55,0.65,0.91
200209,-8.84,-8.67,-14.66,-5.86,-10.74
200210,4.85,2.89,19.89,5.69,6.41
200211,1.28,4.53,14.88,3.71,4.5
200212,-4.15,-1.31,-11.86,-4.05,-4.99
200301,-4.66,-3.48,-2.07,-0.59,-2.25
200302,-2.27,-1.37,-0.9,-1.94,-2.54
200303,1.09,1.89,-0.85,3.79,0.91
200304,7.64,4.54,9.76,4.32,11.66
200305,5.65,6.62,8.76,3.9,5.23
200306,2.63,0.13,0.71,4.12,0.88
200307,1.27,1.04,3.61,0.6,3.6
200308,4.48,4.3,4.8,-2.54,0.53
200309,-2.41,-2.05,-2.14,0.24,0.34
200310,7.58,5.63,7.86,0.73,6.47
200311,1.95,1.52,1.26,1.63,1.01
200312,0.94,8.37,3.41,5.69,4.36
200401,0.2,0.01,3.71,3.04,2.75
200402,4.91,2.72,-2.4,0.91,1.98
200403,-0.04,0.04,-2.48,-3.9,-0.61
200404,-0.7,0.08,-3.78,3.58,-3.87
200405,-0.84,1.27,2.82,-0.38,1.94
200406,1.13,4.83,2.17,-0.38,1.44
200407,-4.75,-1.14,-6.74,-5.87,-2.41
200408,-0.48,0.92,-3.03,1.67,1.95
200409,0.88,3.82,2.86,-1.42,1.25
200410,2.49,0.15,4.68,-2.4,1.19
200411,4.24,6.58,5.19,0.66,4.92
200412,4.06,1.06,3.39,5.66,4.42
200501,-1.18,0.25,-5.79,-4.05,-2.45
200502,0.68,8.44,-0.03,2.48,0.2
